permno,caldt,ticker,prc,ret,me,analysts
91625,2020-04-30,WLDN,25.36,0.18671,295.19039999999995,2.0
91625,2020-05-29,WLDN,24.45,-0.035883,284.8425,2.0
91625,2020-06-30,WLDN,25.01,0.022904,291.3665,2.0
91625,2020-07-31,WLDN,24.66,-0.013994,296.21592,2.0
91625,2020-08-31,WLDN,28.18,0.142741,340.01988,1.0
91625,2020-09-30,WLDN,25.51,-0.094748,307.80366000000004,1.0
91625,2020-10-30,WLDN,26.17,0.025872,315.97658,1.0
91625,2020-11-30,WLDN,38.88,0.485671,469.43712000000005,2.0
91625,2020-12-31,WLDN,41.7,0.072531,507.07200000000006,2.0
91627,2020-01-31,RHE,1.4899,0.064214,2.5149512,0.0
91627,2020-02-28,RHE,1.37,-0.080475,2.3125600000000004,0.0
91627,2020-03-31,RHE,1.38,0.007299,2.3294399999999995,0.0
91627,2020-04-30,RHE,1.218,-0.117391,2.055984,0.0
91627,2020-05-29,RHE,1.23,0.009852,2.07624,0.0
91627,2020-06-30,RHE,1.39,0.130081,2.3463199999999995,0.0
91627,2020-07-31,RHE,1.51,0.086331,2.54888,0.0
91627,2020-08-31,RHE,1.42,-0.059603,2.39696,0.0
91627,2020-09-30,RHE,1.3,-0.084507,2.1944,0.0
91627,2020-10-30,RHE,1.44,0.107692,2.43072,0.0
91627,2020-11-30,RHE,1.45,0.006944,2.4476,0.0
91627,2020-12-31,RHE,3.58,1.468965,6.0430399999999995,0.0
91658,2020-01-31,AIMC,33.26,-0.081469,2136.05698,3.0
91658,2020-02-28,AIMC,30.12,-0.094408,1947.7399200000002,3.0
91658,2020-03-31,AIMC,17.49,-0.413679,1129.2418499999999,3.0
91658,2020-04-30,AIMC,27.91,0.595769,1802.0091499999999,3.0
91658,2020-05-29,AIMC,31.0,0.110713,2004.057,4.0
91658,2020-06-30,AIMC,31.86,0.029032,2057.3595,5.0
91658,2020-07-31,AIMC,34.23,0.074388,2213.17488,5.0
91658,2020-08-31,AIMC,39.05,0.140812,2524.8167999999996,6.0
91658,2020-09-30,AIMC,36.97,-0.052241,2390.6650499999996,6.0
91658,2020-10-30,AIMC,42.76,0.156613,2767.17064,6.0
91658,2020-11-30,AIMC,56.76,0.327409,3673.1666399999995,6.0
91658,2020-12-31,AIMC,55.43,-0.022375,3585.0461099999998,6.0
91659,2020-01-31,ALGT,168.03999,-0.034475,2739.55595697,9.0
91659,2020-02-28,ALGT,135.53999,-0.189241,2218.7896363,11.0
91659,2020-03-31,ALGT,81.8,-0.396488,1325.16,10.0
91659,2020-04-30,ALGT,78.48,-0.040587,1271.376,10.0
91659,2020-05-29,ALGT,106.55,0.357671,1726.11,10.0
91659,2020-06-30,ALGT,109.21,0.024965,1773.7888199999998,9.0
91659,2020-07-31,ALGT,112.03,0.025822,1819.59126,8.0
91659,2020-08-31,ALGT,128.60001,0.147907,2088.72136242,5.0
91659,2020-09-30,ALGT,119.8,-0.068429,1963.4022,8.0
